input_obj,log_dict,resource_dict,result_dict
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347013.1972613, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 4}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9315710067749023, 'delta_t': 27.563127040863037, 'download_pickle_t': 5.650520324707031e-05, 'download_t': 0.002460956573486328, 'finish_t': 1676347039.7781658, 'init_t': 0.4377939701080322, 'mapping_delay': 23.645532369613647, 'response_t': 26.580904483795166, 'upload_pickle_t': 3.266334533691406e-05, 'upload_t': 0.0008087158203125}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347014.1985273, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.99806809425354, 'delta_t': 30.6292941570282, 'download_pickle_t': 5.125999450683594e-05, 'download_t': 0.0020852088928222656, 'finish_t': 1676347042.9106631, 'init_t': 0.4377939701080322, 'mapping_delay': 25.71043348312378, 'response_t': 28.712135791778564, 'upload_pickle_t': 2.1457672119140625e-05, 'upload_t': 0.0010371208190917969}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347014.1985273, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9220054149627686, 'delta_t': 33.676188230514526, 'download_pickle_t': 4.291534423828125e-05, 'download_t': 0.001970052719116211, 'finish_t': 1676347045.8815308, 'init_t': 0.4377939701080322, 'mapping_delay': 28.757327556610107, 'response_t': 31.683003425598145, 'upload_pickle_t': 4.3392181396484375e-05, 'upload_t': 0.0012814998626708984}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347014.1985273, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9365861415863037, 'delta_t': 30.45259690284729, 'download_pickle_t': 5.459785461425781e-05, 'download_t': 0.002243518829345703, 'finish_t': 1676347042.672975, 'init_t': 0.4377939701080322, 'mapping_delay': 25.53373622894287, 'response_t': 28.47444772720337, 'upload_pickle_t': 3.647804260253906e-05, 'upload_t': 0.001245737075805664}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347014.1985273, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 5}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0063536167144775, 'delta_t': 33.44166016578674, 'download_pickle_t': 5.125999450683594e-05, 'download_t': 0.001995086669921875, 'finish_t': 1676347045.7314975, 'init_t': 0.4377939701080322, 'mapping_delay': 28.522799491882324, 'response_t': 31.532970190048218, 'upload_pickle_t': 8.630752563476562e-05, 'upload_t': 0.0012617111206054688}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347015.201471, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 6}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.926344394683838, 'delta_t': 36.50452947616577, 'download_pickle_t': 6.699562072753906e-05, 'download_t': 0.0023527145385742188, 'finish_t': 1676347048.7145634, 'init_t': 0.4377939701080322, 'mapping_delay': 30.582725048065186, 'response_t': 33.513092279434204, 'upload_pickle_t': 3.0994415283203125e-05, 'upload_t': 0.0010199546813964844}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347015.201471, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 6}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.916771173477173, 'delta_t': 39.483301639556885, 'download_pickle_t': 4.76837158203125e-05, 'download_t': 0.0020952224731445312, 'finish_t': 1676347051.683387, 'init_t': 0.4377939701080322, 'mapping_delay': 33.5614972114563, 'response_t': 36.48191595077515, 'upload_pickle_t': 3.719329833984375e-05, 'upload_t': 0.0010967254638671875}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347015.201471, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 6}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0486114025115967, 'delta_t': 39.830265522003174, 'download_pickle_t': 5.364418029785156e-05, 'download_t': 0.0018224716186523438, 'finish_t': 1676347052.1629324, 'init_t': 0.4377939701080322, 'mapping_delay': 33.90846109390259, 'response_t': 36.961461305618286, 'upload_pickle_t': 9.1552734375e-05, 'upload_t': 0.002015352249145508}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347015.201471, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 6}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.047227382659912, 'delta_t': 36.72322201728821, 'download_pickle_t': 6.628036499023438e-05, 'download_t': 0.0023314952850341797, 'finish_t': 1676347049.0540862, 'init_t': 0.4377939701080322, 'mapping_delay': 30.801417589187622, 'response_t': 33.85261511802673, 'upload_pickle_t': 3.528594970703125e-05, 'upload_t': 0.0011248588562011719}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347016.199178, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 7}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.103177309036255, 'delta_t': 42.44795751571655, 'download_pickle_t': 5.841255187988281e-05, 'download_t': 0.0022516250610351562, 'finish_t': 1676347054.8351374, 'init_t': 0.4377939701080322, 'mapping_delay': 35.528446197509766, 'response_t': 38.63595938682556, 'upload_pickle_t': 6.67572021484375e-05, 'upload_t': 0.0014505386352539062}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347016.199178, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 7}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0742058753967285, 'delta_t': 45.91976976394653, 'download_pickle_t': 6.67572021484375e-05, 'download_t': 0.0022668838500976562, 'finish_t': 1676347058.2775176, 'init_t': 0.4377939701080322, 'mapping_delay': 39.000258445739746, 'response_t': 42.07833957672119, 'upload_pickle_t': 3.719329833984375e-05, 'upload_t': 0.0009050369262695312}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347016.199178, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 7}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9243040084838867, 'delta_t': 42.936866998672485, 'download_pickle_t': 4.863739013671875e-05, 'download_t': 0.0024302005767822266, 'finish_t': 1676347055.1452534, 'init_t': 0.4377939701080322, 'mapping_delay': 36.0173556804657, 'response_t': 38.946075439453125, 'upload_pickle_t': 8.559226989746094e-05, 'upload_t': 0.0012722015380859375}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347016.199178, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 7}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.035806655883789, 'delta_t': 45.6169216632843, 'download_pickle_t': 7.152557373046875e-05, 'download_t': 0.0022382736206054688, 'finish_t': 1676347057.936317, 'init_t': 0.4377939701080322, 'mapping_delay': 38.697410345077515, 'response_t': 41.737138986587524, 'upload_pickle_t': 3.647804260253906e-05, 'upload_t': 0.0011746883392333984}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347017.200546, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.95196533203125, 'delta_t': 51.91925573348999, 'download_pickle_t': 3.647804260253906e-05, 'download_t': 0.0014843940734863281, 'finish_t': 1676347064.1540601, 'init_t': 0.4377939701080322, 'mapping_delay': 43.99837636947632, 'response_t': 46.953514099121094, 'upload_pickle_t': 2.956390380859375e-05, 'upload_t': 0.0013012886047363281}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347017.200546, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.047106981277466, 'delta_t': 48.70531988143921, 'download_pickle_t': 6.866455078125e-05, 'download_t': 0.002193927764892578, 'finish_t': 1676347061.0364408, 'init_t': 0.4377939701080322, 'mapping_delay': 40.78444051742554, 'response_t': 43.83589482307434, 'upload_pickle_t': 4.267692565917969e-05, 'upload_t': 0.0014488697052001953}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347017.200546, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.766540288925171, 'delta_t': 49.04450559616089, 'download_pickle_t': 7.152557373046875e-05, 'download_t': 0.0019829273223876953, 'finish_t': 1676347061.0941622, 'init_t': 0.4377939701080322, 'mapping_delay': 41.12362623214722, 'response_t': 43.89361619949341, 'upload_pickle_t': 2.9325485229492188e-05, 'upload_t': 0.00091552734375}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347017.200546, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 8}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 3.0850868225097656, 'delta_t': 51.804697036743164, 'download_pickle_t': 8.20159912109375e-05, 'download_t': 0.0021915435791015625, 'finish_t': 1676347064.1731496, 'init_t': 0.4377939701080322, 'mapping_delay': 43.88381767272949, 'response_t': 46.97260355949402, 'upload_pickle_t': 2.7179718017578125e-05, 'upload_t': 0.0009095668792724609}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 0, 'input_data_key': 'input_data_key', 'invoke_t': 1676347018.2008038, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9654700756073, 'delta_t': 57.91438627243042, 'download_pickle_t': 7.367134094238281e-05, 'download_t': 0.002147674560546875, 'finish_t': 1676347070.1632166, 'init_t': 0.4377939701080322, 'mapping_delay': 48.99324917793274, 'response_t': 51.96241283416748, 'upload_pickle_t': 3.314018249511719e-05, 'upload_t': 0.0010409355163574219}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 1, 'input_data_key': 'input_data_key', 'invoke_t': 1676347018.2008038, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9575674533843994, 'delta_t': 54.9400315284729, 'download_pickle_t': 5.459785461425781e-05, 'download_t': 0.0021202564239501953, 'finish_t': 1676347067.1812093, 'init_t': 0.4377939701080322, 'mapping_delay': 46.01889443397522, 'response_t': 48.98040556907654, 'upload_pickle_t': 1.9311904907226562e-05, 'upload_t': 0.001251220703125}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 2, 'input_data_key': 'input_data_key', 'invoke_t': 1676347018.2008038, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.8885107040405273, 'delta_t': 58.00885272026062, 'download_pickle_t': 6.437301635742188e-05, 'download_t': 0.00847005844116211, 'finish_t': 1676347070.1868076, 'init_t': 0.4377939701080322, 'mapping_delay': 49.08771562576294, 'response_t': 51.98600387573242, 'upload_pickle_t': 2.9325485229492188e-05, 'upload_t': 0.0009059906005859375}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
"{'function_name': 'function-runtime', 'handler': 'single_thread', 'index': 3, 'input_data_key': 'input_data_key', 'invoke_t': 1676347018.2008038, 'n_request': 4, 'namespace': 'faas-scaler', 'output_data_key': 'output_data_key', 'timestamp': 9}","{'COLD_START': False, 'COLD_START_FLAG': False, 'compute_t': 2.9393932819366455, 'delta_t': 54.925397872924805, 'download_pickle_t': 6.222724914550781e-05, 'download_t': 0.002511739730834961, 'finish_t': 1676347067.1489296, 'init_t': 0.4377939701080322, 'mapping_delay': 46.004260778427124, 'response_t': 48.9481258392334, 'upload_pickle_t': 3.600120544433594e-05, 'upload_t': 0.0013272762298583984}","{'hostname': 'function-runtime-00001-deployment-86ccd49854-cljtf', 'memory': 2048, 'nodename': 'k8s06', 'vcpus': 2.0}","{'function_name': 'function-runtime', 'output_data_key': 'output_data_key'}"
